Epoch,score,profit,distance,time,weight,best_fitness
0,-3931.6537475664372,35602.0,3819.0,7046.997102953019,31402.0,0.6820647364713057
3,-113.18581239261403,35123.0,4248.0,6280.960037859645,30623.0,0.7440296150835822
6,-8020.615556513883,31144.0,4347.0,6981.214894209248,26444.0,0.80341349835955
9,-4531.985454862945,31745.0,3923.0,6466.485820831183,27345.0,0.8485714631179065
12,-2637.3354722503245,27949.0,3819.0,5452.1097098485425,24149.0,0.884148416799902
15,-8004.188126178338,18890.0,3819.0,4793.972928017529,15990.0,0.9183094605415743
18,-1876.5313134954413,27298.0,3819.0,5200.451214526816,22898.0,0.9457611352349388
21,-10295.78192051132,18833.0,3819.0,5192.296242515386,15633.0,0.975970019400797
24,-2219.563960561998,25995.0,3819.0,5029.334039315864,21495.0,0.9876930343034707
27,-1847.9163134211412,25974.0,3819.0,4959.343371376317,21674.0,1.006097754416782
30,-4171.3766520541685,22661.0,3819.0,4782.954839938354,18561.0,1.0225790334916403
33,-10698.711657916381,18288.0,3819.0,5166.971775029658,14288.0,1.0334635934407435
36,-9226.357073472394,17451.0,3819.0,4755.322116483492,13451.0,1.050329841184156
39,-7681.627443044985,19611.0,3819.0,4864.995979152403,15011.0,1.0557213109738834
42,-7980.157878660317,19625.0,3819.0,4920.705504217525,14725.0,1.057723260152605
45,-7400.535094760406,20017.0,3819.0,4887.261157711302,15317.0,1.0605808017021223
48,-6753.96207850664,21296.0,3819.0,4999.993240375515,16396.0,1.062659465991353
51,-6265.819053174859,20562.0,3819.0,4782.142433721008,15662.0,1.0692168067587702
54,-6063.05637792448,21292.0,3819.0,4876.12413153734,16292.0,1.0767149510931684
57,-6063.05637792448,21292.0,3819.0,4876.12413153734,16292.0,1.0767149510931684
60,-5909.15965962812,20424.0,3819.0,4693.967853766153,15524.0,1.0796437110763146
63,-4228.2896641518055,22440.0,3819.0,4753.7058224869525,17040.0,1.0839696286478162
66,-4663.431810612154,21414.0,3819.0,4648.383566954038,16414.0,1.087286001938269
69,-3745.4519398216544,22492.0,3819.0,4676.907654157158,17292.0,1.0877688039239233
72,-2844.2011416691967,23818.0,3819.0,4752.6205243617105,18018.0,1.0891753521110983
75,-3665.8801436247995,23017.0,3819.0,4756.306620966987,17317.0,1.0901729604864077
78,-2604.091948173882,24174.0,3819.0,4773.278422134382,18174.0,1.091611621889886
81,-3015.814741554561,23967.0,3819.0,4809.770898672827,17767.0,1.0917338740439961
84,-1955.4931191594806,24698.0,3819.0,4751.06829218529,18498.0,1.0970107064736563
87,-2104.5166247438574,24549.0,3819.0,4751.07248212903,18349.0,1.0970130031892462
90,-1856.8641673344428,24804.0,3819.0,4752.382204515943,18504.0,1.0979939334110498
93,-1606.4578746335646,24804.0,3813.0,4707.746501717213,18504.0,1.1026728259797225
96,-1606.4578746335646,24804.0,3813.0,4707.746501717213,18504.0,1.1026728259797225
99,-1589.6355101196168,25498.0,3813.0,4828.455527650555,19098.0,1.0989538031552781
102,-1349.75215896605,25204.0,3813.0,4733.289154895909,18704.0,1.1026935008198504
105,-1419.1424169700513,24804.0,3741.0,4674.35693707131,18504.0,1.1065646978727588
108,-1368.7941673344358,24804.0,3732.0,4665.382204515942,18504.0,1.1075983172403878
111,-469.1485565110852,25826.0,3732.0,4687.192256062582,19426.0,1.1077257267240168
114,-213.48471030252767,25826.0,3726.0,4641.619377950539,19426.0,1.112559857476455
117,-213.48471030252767,25826.0,3726.0,4641.619377950539,19426.0,1.112559857476455
120,-213.48471030252767,25826.0,3726.0,4641.619377950539,19426.0,1.112559857476455
123,-213.48471030252767,25826.0,3726.0,4641.619377950539,19426.0,1.112559857476455
126,-17.134710302521853,25826.0,3691.0,4606.619377950538,19426.0,1.1164851575972996
129,409.22528969748237,25826.0,3615.0,4530.6193779505375,19426.0,1.125094155793258
132,409.22528969748237,25826.0,3615.0,4530.6193779505375,19426.0,1.125094155793258
135,409.22528969748237,25826.0,3615.0,4530.6193779505375,19426.0,1.125094155793258
138,409.22528969748237,25826.0,3615.0,4530.6193779505375,19426.0,1.125094155793258
141,408.6782967644649,25826.0,3610.0,4530.716881147154,19426.0,1.1251229076269684
144,409.22528969748237,25826.0,3615.0,4530.6193779505375,19426.0,1.125094155793258
147,931.8898472365508,26630.0,3615.0,4580.768298175302,19830.0,1.1252904226022558
150,-1314.5464090926544,22938.0,3615.0,4323.0920515316675,16538.0,1.12617433276845
153,-266.9208559184808,24312.0,3615.0,4381.2693147804775,17712.0,1.1296882446588286
156,106.14323289357708,24822.0,3615.0,4405.678568111662,18022.0,1.1303794442564947
159,710.0535268706662,25939.0,3615.0,4497.138408757457,18839.0,1.1331336522496898
162,869.6582789309723,26137.0,3615.0,4503.9824814739795,19037.0,1.1338502551793044
165,1161.491435028187,26559.0,3615.0,4527.185127445956,19259.0,1.1339908698722154
168,902.3095318051819,26137.0,3624.0,4498.162293795867,19037.0,1.1344766149521972
171,1161.491435028187,26559.0,3615.0,4527.185127445956,19259.0,1.1339908698722154
174,1161.491435028187,26559.0,3615.0,4527.185127445956,19259.0,1.1339908698722154
177,1225.9524889465647,26559.0,3601.0,4515.694743503286,19259.0,1.1353291921044533
180,1225.9524889465647,26559.0,3601.0,4515.694743503286,19259.0,1.1353291921044533
183,1161.491435028187,26559.0,3615.0,4527.185127445956,19259.0,1.1339908698722154
186,1161.491435028187,26559.0,3615.0,4527.185127445956,19259.0,1.1339908698722154
189,1161.491435028187,26559.0,3615.0,4527.185127445956,19259.0,1.1339908698722154
192,1161.491435028187,26559.0,3615.0,4527.185127445956,19259.0,1.1339908698722154
195,1161.491435028187,26559.0,3615.0,4527.185127445956,19259.0,1.1339908698722154
198,1161.491435028187,26559.0,3615.0,4527.185127445956,19259.0,1.1339908698722154
201,1161.491435028187,26559.0,3615.0,4527.185127445956,19259.0,1.1339908698722154
204,1161.491435028187,26559.0,3615.0,4527.185127445956,19259.0,1.1339908698722154
207,4436.996465136068,29009.0,3615.0,4380.036280724408,21509.0,1.1341132056694092
210,5055.849000855695,29949.0,3615.0,4437.281818029288,22249.0,1.1343405595434566
213,5419.434251988951,30383.0,3615.0,4449.833466668636,22683.0,1.1361292804012135
216,5804.388652385838,30929.0,3615.0,4478.540347168299,23029.0,1.1365044114808016
219,6396.648102072013,31656.0,3615.0,4502.558270575399,23656.0,1.1365311789767434
222,6396.648102072013,31656.0,3615.0,4502.558270575399,23656.0,1.1365311789767434
225,6396.648102072013,31656.0,3615.0,4502.558270575399,23656.0,1.1365311789767434
228,6484.780376166382,31656.0,3602.0,4486.848417795653,23656.0,1.1381873528840998
231,6755.872438410497,32058.0,3602.0,4510.183166058735,23858.0,1.1382315637991678
234,6755.872438410497,32058.0,3602.0,4510.183166058735,23858.0,1.1382315637991678
237,6787.136480038491,32058.0,3599.0,4504.610253112568,23858.0,1.1388495397373666
240,6787.136480038491,32058.0,3599.0,4504.610253112568,23858.0,1.1388495397373666
243,7054.944234492301,32502.0,3593.0,4536.017070500481,24102.0,1.138515475509972
246,6787.136480038491,32058.0,3599.0,4504.610253112568,23858.0,1.1388495397373666
249,6787.136480038491,32058.0,3599.0,4504.610253112568,23858.0,1.1388495397373666
252,6199.117885766707,31331.0,3599.0,4479.836383998804,23231.0,1.1389187602397877
255,6451.312653975663,31548.0,3599.0,4473.562806777956,23548.0,1.1389618982473395
258,6574.915293868249,31548.0,3577.0,4451.530250647371,23548.0,1.1414799116736125
261,6614.185293868253,31548.0,3570.0,4444.53025064737,23548.0,1.1422963800573822
264,6614.185293868253,31548.0,3570.0,4444.53025064737,23548.0,1.1422963800573822
267,6614.185293868253,31548.0,3570.0,4444.53025064737,23548.0,1.1422963800573822
270,6614.185293868253,31548.0,3570.0,4444.53025064737,23548.0,1.1422963800573822
273,6614.185293868253,31548.0,3570.0,4444.53025064737,23548.0,1.1422963800573822
276,6660.022516799108,31548.0,3561.0,4436.3596226739555,23548.0,1.1432764517808387
279,6614.185293868253,31548.0,3570.0,4444.53025064737,23548.0,1.1422963800573822
282,6614.185293868253,31548.0,3570.0,4444.53025064737,23548.0,1.1422963800573822
285,6614.185293868253,31548.0,3570.0,4444.53025064737,23548.0,1.1422963800573822
288,6614.185293868253,31548.0,3570.0,4444.53025064737,23548.0,1.1422963800573822
291,6664.675293868255,31548.0,3561.0,4435.53025064737,23548.0,1.1433476198465382
294,6664.675293868255,31548.0,3561.0,4435.53025064737,23548.0,1.1433476198465382
297,6664.675293868255,31548.0,3561.0,4435.53025064737,23548.0,1.1433476198465382
300,6713.56159931585,31548.0,3556.0,4426.816114203948,23548.0,1.1443005808875462
303,6713.56159931585,31548.0,3556.0,4426.816114203948,23548.0,1.1443005808875462
306,7007.877473877023,31548.0,3499.0,4374.353391465771,23548.0,1.150755238338213
309,6713.56159931585,31548.0,3556.0,4426.816114203948,23548.0,1.1443005808875462
312,6713.56159931585,31548.0,3556.0,4426.816114203948,23548.0,1.1443005808875462
315,6713.56159931585,31548.0,3556.0,4426.816114203948,23548.0,1.1443005808875462
318,6902.939899289082,31548.0,3520.0,4393.0588414814465,23548.0,1.1483757275722655
321,6902.939899289082,31548.0,3520.0,4393.0588414814465,23548.0,1.1483757275722655
324,6902.939899289082,31548.0,3520.0,4393.0588414814465,23548.0,1.1483757275722655
327,6902.939899289082,31548.0,3520.0,4393.0588414814465,23548.0,1.1483757275722655
330,8235.055212057625,33059.0,3556.0,4424.94559499864,24859.0,1.1404715404696923
333,6713.56159931585,31548.0,3556.0,4426.816114203948,23548.0,1.1443005808875462
336,6713.56159931585,31548.0,3556.0,4426.816114203948,23548.0,1.1443005808875462
339,6713.56159931585,31548.0,3556.0,4426.816114203948,23548.0,1.1443005808875462
342,6717.233342377433,31548.0,3552.0,4426.161614549477,23548.0,1.144506078700128
345,7103.751273218793,32271.0,3556.0,4486.140593009128,23971.0,1.1443718516294625
348,7103.751273218793,32271.0,3556.0,4486.140593009128,23971.0,1.1443718516294625
351,7103.751273218793,32271.0,3556.0,4486.140593009128,23971.0,1.1443718516294625
354,7193.224657097344,32271.0,3540.0,4470.191683226854,23971.0,1.1462897014617741
357,7326.491274348231,32271.0,3514.0,4446.436492986055,23971.0,1.1491632091009465
360,7326.491274348231,32271.0,3514.0,4446.436492986055,23971.0,1.1491632091009465
363,7326.491274348231,32271.0,3514.0,4446.436492986055,23971.0,1.1491632091009465
366,7326.491274348231,32271.0,3514.0,4446.436492986055,23971.0,1.1491632091009465
369,7193.224657097344,32271.0,3540.0,4470.191683226854,23971.0,1.1462897014617741
372,7337.706990683335,32271.0,3512.0,4444.437256562685,23971.0,1.1493981477264135
375,7204.440373432448,32271.0,3538.0,4468.192446803485,23971.0,1.146523682943107
378,7204.440373432448,32271.0,3538.0,4468.192446803485,23971.0,1.146523682943107
381,7204.440373432448,32271.0,3538.0,4468.192446803485,23971.0,1.146523682943107
384,7204.440373432448,32271.0,3538.0,4468.192446803485,23971.0,1.146523682943107
387,7193.224657097344,32271.0,3540.0,4470.191683226854,23971.0,1.1462897014617741
390,7193.224657097344,32271.0,3540.0,4470.191683226854,23971.0,1.1462897014617741
393,7193.224657097344,32271.0,3540.0,4470.191683226854,23971.0,1.1462897014617741
396,7294.224657097344,32372.0,3540.0,4470.191683226854,23972.0,1.1462897014617741
399,7193.224657097344,32271.0,3540.0,4470.191683226854,23971.0,1.1462897014617741
402,7086.8688045335,31295.0,3540.0,4315.174901152674,22995.0,1.14771944237801
405,7086.8688045335,31295.0,3540.0,4315.174901152674,22995.0,1.14771944237801
408,6985.8688045335,31194.0,3540.0,4315.174901152674,22994.0,1.14771944237801
411,7296.714476160807,31642.0,3540.0,4339.6230880283765,23242.0,1.1481278109551718
414,8284.652259590523,32763.0,3540.0,4363.341843210245,24263.0,1.1484928333906819
417,8606.324455429618,33219.0,3540.0,4387.286193328054,24619.0,1.1487269926679087
420,10213.197866192222,33973.0,3540.0,4235.258847381066,25273.0,1.149251384189541
423,10562.840649977308,34429.0,3540.0,4254.217352945221,25629.0,1.150062301381611
426,10696.107267228199,34429.0,3514.0,4230.462162704421,25629.0,1.1530907069881209
429,10966.270416668514,34810.0,3514.0,4250.219177064436,25910.0,1.153991298620643
432,11363.11524059462,35311.0,3514.0,4268.7851621043455,26111.0,1.1545531090664207
435,11262.11524059462,35210.0,3514.0,4268.7851621043455,26110.0,1.1545531090664207
438,11363.11524059462,35311.0,3514.0,4268.7851621043455,26111.0,1.1545531090664207
441,10405.874112075111,34234.0,3499.0,4247.437769683581,25134.0,1.1553081694393619
444,11343.403726905082,35210.0,3499.0,4254.295235845796,26110.0,1.1563364483748064
447,11529.78816486921,35523.0,3499.0,4276.864854747021,26223.0,1.1566398555409239
450,12640.87481124876,37240.0,3499.0,4384.870800133911,27840.0,1.1572042449769246
453,11277.837755126406,35086.0,3499.0,4243.879188034509,25886.0,1.1579158404276897
456,11277.837755126406,35086.0,3499.0,4243.879188034509,25886.0,1.1579158404276897
459,11404.419542773245,35672.0,3499.0,4325.771917509225,26372.0,1.1580729230759612
462,11317.107755126402,35086.0,3492.0,4236.879188034509,25886.0,1.1587747400094746
465,12342.917770258355,36648.0,3496.0,4332.456725444144,27248.0,1.158789786968876
468,12342.917770258355,36648.0,3496.0,4332.456725444144,27248.0,1.158789786968876
471,12342.917770258355,36648.0,3496.0,4332.456725444144,27248.0,1.158789786968876
474,12342.917770258355,36648.0,3496.0,4332.456725444144,27248.0,1.158789786968876
477,9421.331881624192,33364.0,3499.0,4267.85527956788,24164.0,1.1603505608753688
480,9430.07714890359,33364.0,3496.0,4266.296408395082,24164.0,1.1605258818175017
483,9430.07714890359,33364.0,3496.0,4266.296408395082,24164.0,1.1605258818175017
486,9430.07714890359,33364.0,3496.0,4266.296408395082,24164.0,1.1605258818175017
489,10466.999232265742,34441.0,3496.0,4273.440422056017,25141.0,1.1614942046737835
492,10466.999232265742,34441.0,3496.0,4273.440422056017,25141.0,1.1614942046737835
495,10466.999232265742,34441.0,3496.0,4273.440422056017,25141.0,1.1614942046737835
498,10466.999232265742,34441.0,3496.0,4273.440422056017,25141.0,1.1614942046737835
